match_id,match_venue,match_innings,batting_team,bowling_team,total_score,run_rate
392192.0,Kingsmead,2.0,Mumbai Indians,Deccan Chargers,49.0,8.166666666666666
392194.0,St George's Park,1.0,Royal Challengers Bangalore,Delhi Daredevils,44.0,7.333333333333333
392194.0,St George's Park,2.0,Delhi Daredevils,Royal Challengers Bangalore,43.0,7.166666666666667
392195.0,Newlands,1.0,Kings XI Punjab,Rajasthan Royals,32.0,5.333333333333333
392195.0,Newlands,2.0,Rajasthan Royals,Kings XI Punjab,32.0,5.333333333333333
392196.0,Kingsmead,1.0,Chennai Super Kings,Deccan Chargers,62.0,10.333333333333334
392196.0,Kingsmead,2.0,Deccan Chargers,Chennai Super Kings,69.0,11.5
392197.0,St George's Park,1.0,Mumbai Indians,Kolkata Knight Riders,55.0,9.166666666666666
392197.0,St George's Park,2.0,Kolkata Knight Riders,Mumbai Indians,47.0,7.833333333333333
392198.0,SuperSport Park,1.0,Delhi Daredevils,Rajasthan Royals,42.0,7.0
392198.0,SuperSport Park,2.0,Rajasthan Royals,Delhi Daredevils,33.0,5.5
392199.0,Kingsmead,1.0,Kolkata Knight Riders,Royal Challengers Bangalore,45.0,7.5
392199.0,Kingsmead,2.0,Royal Challengers Bangalore,Kolkata Knight Riders,46.0,7.666666666666667
392200.0,Kingsmead,1.0,Kings XI Punjab,Mumbai Indians,26.0,4.333333333333333
392200.0,Kingsmead,2.0,Mumbai Indians,Kings XI Punjab,23.0,3.8333333333333335
392202.0,SuperSport Park,1.0,Chennai Super Kings,Rajasthan Royals,40.0,6.666666666666667
392202.0,SuperSport Park,2.0,Rajasthan Royals,Chennai Super Kings,38.0,6.333333333333333
392201.0,SuperSport Park,1.0,Deccan Chargers,Delhi Daredevils,37.0,6.166666666666667
392201.0,SuperSport Park,2.0,Delhi Daredevils,Deccan Chargers,37.0,6.166666666666667
392203.0,Buffalo Park,1.0,Mumbai Indians,Kolkata Knight Riders,40.0,6.666666666666667
392203.0,Buffalo Park,2.0,Kolkata Knight Riders,Mumbai Indians,26.0,4.333333333333333
392204.0,Kingsmead,1.0,Royal Challengers Bangalore,Kings XI Punjab,38.0,6.333333333333333
392204.0,Kingsmead,2.0,Kings XI Punjab,Royal Challengers Bangalore,35.0,5.833333333333333
